	highly_variable	highly_variable_rank	means	variances	variances_norm
GPR32	True	12307.0	0.00016948604071062137	0.00017491263006937503	0.996733629276256
C19orf48	True	1492.0	0.039919355888573656	0.049618511937899436	1.0522699752386504
KLK1	True	1664.0	0.01852245615649054	0.025624365349083918	1.0507107407659186
KLK2	True	12666.0	0.00021697188825427023	0.00022386793963414262	0.9945019650779311
KLK6	True	2146.0	0.004957249718897421	0.006105812154951339	1.047820543693282
KLK7	True	2085.0	0.0021218610831906176	0.0026160225042554113	1.0662082081832827
KLK8	True	6164.5	0.0023942537909018356	0.002828912631614407	1.0272607708994976
KLK9	True	11290.5	9.831926136322073e-05	0.00010227709332343184	1.0045909630543848
KLK10	True	398.5	0.01275422751126673	0.018349621429375764	1.1802650152763097
KLK11	True	2311.0	0.004183094021606185	0.004956365905257046	1.0427792441405828
KLK12	True	1951.0	0.002001100729385098	0.00245831687250826	1.062027116157989
KLK13	True	8208.0	0.00041931367204339537	0.0004538534064790479	1.0114332621482836
CTU1	True	9197.0	0.0029470981621737163	0.0030757873571934415	0.9908245788071663
SIGLEC9	True	7572.0	0.0033371516252868215	0.003507527961710505	0.9924538965014879
SIGLEC7	True	9582.0	0.0008785501715255765	0.0009080305141223387	0.989734399761325
CD33	True	7388.5	0.0019942816128971064	0.00208304469624633	0.9926316101233237
IGLON5	True	10088.0	0.00022503084410371456	0.00023613878875340978	1.0398001164253512
VSIG10L	True	9380.5	0.0009538084207657719	0.0009905899096676546	0.9865039732649798
ETFB	True	6692.5	0.06166762609569254	0.07579529623014646	1.0006176506390674
CLDND2	True	9358.0	0.0046701029227849125	0.004912875390327201	0.9877093148293837
NKG7	True	4641.0	0.010178337253912035	0.01155857988552281	1.0041934665706795
LIM2	True	10413.0	7.773792796310138e-05	7.971563763944068e-05	0.9766097732223262
SIGLEC10	True	7142.5	0.005020729494203813	0.005326807507368641	0.9942964092295002
SIGLEC8	True	6772.5	0.0006914584118823229	0.0007232162102119297	0.9941439579108496
SIGLEC12	True	7537.5	0.0017315596522052216	0.001833204022770558	0.9928679042859115
SIGLEC6	True	3091.0	0.0017086226240183417	0.0018346467538048695	1.0245200035309072
ZNF175	True	9421.0	0.010689275054766804	0.011293626747696784	0.9860886241401919
SIGLEC5	True	10480.5	0.0016455148005203853	0.0017132301697052028	0.9860155119385178
SPACA6	True	8638.0	0.006304955104796802	0.0066535211588601125	0.9894993199489185
HAS1	True	2848.0	0.0010688655135086078	0.0011951786745629618	1.0308103256710142
FPR1	True	3492.0	0.00956808832020488	0.010664307436576401	1.0165880833289305
FPR2	True	2441.5	0.005740704211399554	0.00655480759099229	1.034133084429317
FPR3	True	1864.0	0.01589052515999817	0.018352027007714735	1.052265568215907
ZNF577	True	8443.0	0.003967237988777222	0.004136979492909991	0.9897354224337304
ZNF649	True	8902.0	0.005848694219782108	0.006122215884274647	0.9889307132606159
ZNF613	True	9227.0	0.003496718951105819	0.0036603015829554256	0.9867967866832964
ZNF350	True	9021.0	0.00669178498557013	0.007008047090217397	0.9878881360219974
ZNF614	True	8064.5	0.004115026840662416	0.004303411326573532	0.9904589780892314
ZNF432	True	8950.5	0.006295284357777469	0.00664149258535475	0.9922800337162286
ZNF841	True	8010.5	0.008514224862969854	0.009043551985257085	0.994896089941626
ZNF836	True	10241.5	0.00388292891219842	0.0040369663646824	0.983428092517552
PPP2R1A	True	8755.0	0.005332797061481526	0.005575883848460809	0.9884395093913436
ZNF766	True	9423.5	0.01010803836211765	0.010623307241710636	0.9860847625744055
ZNF480	True	7832.5	0.002981689680358254	0.003110669729674947	0.99110283705699
ZNF610	True	9632.5	0.0011575140278524954	0.001208991495821241	0.9902348866995866
ZNF880	True	10691.0	0.0034359668223946233	0.0035957551678309973	0.983808074561926
ZNF534	True	12162.0	0.000194778763684262	0.00020094004663808243	0.9871074992526909
ZNF578	True	11550.0	0.0003555859288647126	0.00036736199092884014	0.9925473301234182
ZNF808	True	7534.5	0.005044038474199129	0.0052970647274032	0.993894971521817
ZNF83	True	10438.0	0.020172682346584446	0.021973157956977733	0.9834236835671764
ZNF600	True	8473.0	0.0063854206793551	0.006717591594901266	0.9896142279931058
ZNF888	True	7495.0	0.003831227610825831	0.004021123299014311	0.9939650143034768
ZNF816	True	9015.0	0.004382832142736258	0.004579603509707233	0.9879220772906718
ERVV-1	True	8911.5	0.0002505715349496458	0.0002619153034541764	1.016442189434407
ERVV-2	True	11261.0	0.00028702281217636317	0.00029735511758511646	1.001340002282483
ZNF160	True	10649.5	0.016671252005905107	0.01769961830815591	0.9819807955424229
ZNF415	True	9652.0	0.002295562577730179	0.002397415388252437	0.9881949234327455
ZNF347	True	8501.0	0.0024928210201373468	0.0025986886639699064	0.9911254259881
ZNF665	True	11312.5	0.0008258569986638252	0.0008536913700390178	0.9917165158046577
ZNF677	True	9144.5	0.0035760686702388093	0.00373189901895768	0.9900761384014214
VN1R2	True	5643.0	0.00027388051494496167	0.0002871958051198536	1.0139490907778337
VN1R4	True	10045.0	0.00034628713365381526	0.00035782175323668844	0.977270895745898
ZNF765	True	8094.5	0.004773381541593945	0.004998564862284656	0.9942658823906282
ZNF813	True	11088.0	0.0013270000685631166	0.0013842556646117775	0.98451481533142
ZNF331	True	8936.5	0.007718371976853191	0.008241524232579631	0.9919761633038693
DPRX	True	12101.0	0.00012398393614529728	0.00012719216223843784	0.9939603721936727
NLRP12	True	10790.5	0.0003254578323814053	0.0003375023771678593	0.998260747049029
MYADM	True	12338.5	0.03573217039707467	0.041007938505393686	0.9757501464526565
PRKCG	True	5452.5	0.0016763868006205644	0.0018129346969173634	1.001304076832887
CACNG7	True	11459.5	0.0001498965787996644	0.0001543375506519363	0.992781781087802
CACNG8	True	8463.5	0.0006436006125302382	0.0006694710682482501	0.998115082915611
VSTM1	True	11753.0	0.00034442737461163583	0.0003594348291691251	1.001178278016236
OSCAR	True	5824.5	0.0032070924762704046	0.0033865028762933157	0.9964183415077447
NDUFA3	True	11819.5	0.059064955308130454	0.0711333035537333	0.9758418595983571
TFPT	True	8666.0	0.010052369574788412	0.010587110377904984	0.9908164739439396
PRPF31	True	7734.0	0.0360491973217982	0.041096395480822896	0.9911401511354692
CNOT3	True	9308.5	0.015668841882170378	0.01671152444475214	0.9857043456101747
LENG1	True	8592.5	0.005644492676950804	0.00591713766017352	0.9902323135696653
TMC4	True	2470.5	0.018143685231566658	0.020711007201843115	1.036042499474731
MBOAT7	True	4718.5	0.03970139212883022	0.04613480755469661	1.0060607530378063
TSEN34	True	6899.0	0.016230241145036284	0.017633414673335502	0.9953094510104422
LILRA6	True	8347.5	0.0009817048063984638	0.0010241355666987708	0.9924403423295571
LILRB5	True	3996.5	0.0034571680754754692	0.0037093023082567663	1.012574041459901
LILRB2	True	3360.0	0.01157600816607797	0.012960809025728876	1.0298383119755241
LILRA5	True	6610.0	0.0032028770224414643	0.0034276925691308813	0.9983373319788411
LILRA4	True	6486.0	0.000605165592325196	0.0006343076223775983	1.0105525764389764
LAIR1	True	4820.0	0.015390249977651895	0.01702778144109325	1.0115969629522321
TTYH1	True	6808.0	0.00033029320589107194	0.0003455581632148922	1.007068397950065
LENG8	True	16453.0	0.19996017635971014	0.2799913492936197	0.8162494843882555
LENG9	True	7230.0	0.006879868616702546	0.007383273584284188	0.9989153286933782
CDC42EP5	True	3099.0	0.04602705255096329	0.05738587192622653	1.024787821173705
LAIR2	True	7661.0	0.0008995034567341317	0.0009378733903686034	0.9967931124869641
LILRA2	True	6932.5	0.0012435588795373317	0.001300285052053204	0.9948311765705259
LILRA1	True	6581.0	0.0011298656100920941	0.0011819022528745966	0.9938459787441136
LILRB1	True	6805.5	0.004975227389638489	0.0052532439254445555	0.9958953843654862
LILRB4	True	6247.0	0.004017947418660649	0.0042745687066990355	1.00082309189768
KIR2DL4	True	8333.5	0.0003227301857862088	0.0003372561772928846	1.0000169051640098
FCAR	True	3746.5	0.005186496016830075	0.005817455762355492	1.020800795479562
NCR1	True	7288.5	0.0012529816586843742	0.0013183631846216922	0.9997349984999099
NLRP7	True	12654.0	0.0002523073100556799	0.0002606745910543145	0.9983348985892081
NLRP2	True	8607.5	0.0030094620820548005	0.003248125527165167	0.9940133807088278
GP6	True	10613.5	0.00029681754313184164	0.0003076400670011435	0.9938796079949455
RDH13	True	4032.0	0.024441077316258598	0.02787542414755685	1.0147328633863848
EPS8L1	True	1407.0	0.01413888011013741	0.017281333272581217	1.0731126600818814
PPP1R12C	True	14797.0	0.03698601994331206	0.04028729430227421	0.9577239280140033
TNNT1	True	3018.5	0.00398285996473153	0.004698006661222899	1.0337484748064194
TNNI3	True	8836.0	0.0013173293215437835	0.001380809686613031	0.9984439898639843
DNAAF3	True	6971.5	0.001308774429949758	0.0013874033020791427	0.999226302401404
SYT5	True	8142.0	0.0002607382177135602	0.0002750524039903179	1.0152064401536045
PTPRH	True	3218.0	0.008450869071599608	0.009424637633742815	1.0264743022507727
TMEM86B	True	9063.5	0.004554797862169785	0.004775077042503864	0.9903466234333366
PPP6R1	True	14170.5	0.05898820925165652	0.06903426454204194	0.9665070844915293
HSPBP1	True	8025.5	0.0045731474847192895	0.004878808099502841	0.9944958908044568
BRSK1	True	7147.5	0.004245085989678834	0.004463131202396286	0.9951682681095724
TMEM150B	True	6024.0	0.0070703079426217225	0.007699503645036929	1.0030693707138818
KMT5C	True	7351.0	0.00317609649223408	0.003335867309419115	1.0024830957712283
COX6B2	True	3173.0	0.002547993871722004	0.0027671527058185964	1.0212073165870543
FAM71E2	True	10333.5	0.0002593743944159619	0.00026972180341685903	0.9982357866931016
IL11	True	330.5	0.0071073791395291665	0.01571962386874891	1.3584377910743026
TMEM190	True	10784.0	0.0002442483542062356	0.0002573310260840182	1.0095314132209947
TMEM238	True	1332.5	0.10693006971244777	0.16645875233045565	1.068508044344833
ISOC2	True	5956.5	0.01381590195647891	0.015325340410000507	0.9988784548985833
C19orf85	True	10197.0	9.08802251945029e-05	9.359962417921787e-05	1.005986159588462
ZNF628	True	6837.0	0.004369813829441002	0.004587776411257414	0.9964283719536662
