,0
551,ATPAF1
552,TEX38
553,EFCAB14
554,CYP4B1
555,CYP4X1
556,PDZK1IP1
557,TAL1
558,STIL
559,CMPK1
560,FOXD2
561,TRABD2B
562,SLC5A9
563,SPATA6
564,AGBL4
565,BEND5
566,ELAVL4
567,DMRTA2
568,FAF1
569,CDKN2C
570,C1orf185
571,RNF11
572,TTC39A
573,EPS15
574,OSBPL9
575,NRDC
576,RAB3B
577,TXNDC12
578,KTI12
579,BTF3L4
580,ZFYVE9
581,CC2D1B
582,ORC1
583,PRPF38A
584,TUT4
585,GPX7
586,SHISAL2A
587,COA7
588,ZYG11B
589,ZYG11A
590,ECHDC2
591,SCP2
592,PODN
593,CPT2
594,CZIB
595,MAGOH
596,LRP8
597,GLIS1
598,NDC1
599,YIPF1
600,DIO1
601,HSPB11
602,LRRC42
603,LDLRAD1
604,TMEM59
605,TCEANC2
606,CDCP2
607,CYB5RL
608,SSBP3
609,ACOT11
610,MROH7
611,TTC4
612,PARS2
613,TTC22
614,LEXM
615,DHCR24
616,TMEM61
617,BSND
618,PCSK9
619,USP24
620,PLPP3
621,PRKAA2
622,FYB2
623,C8B
624,DAB1
625,OMA1
626,TACSTD2
627,MYSM1
628,JUN
629,FGGY
630,HOOK1
631,CYP2J2
632,C1orf87
633,NFIA
634,TM2D1
635,PATJ
636,L1TD1
637,USP1
638,DOCK7
639,ANGPTL3
640,ATG4C
641,FOXD3
642,ALG6
643,ITGB3BP
644,EFCAB7
645,PGM1
646,ROR1
647,CACHD1
648,RAVER2
649,JAK1
650,AK4
651,DNAJC6
652,LEPROT
653,LEPR
654,PDE4B
655,SGIP1
656,TCTEX1D1
657,INSL5
658,WDR78
659,MIER1
660,SLC35D1
661,C1orf141
662,IL23R
663,IL12RB2
664,SERBP1
665,GADD45A
666,GNG12
667,DIRAS3
668,WLS
669,RPE65
670,DEPDC1
671,LRRC7
672,LRRC40
673,SRSF11
674,ANKRD13C
675,HHLA3
676,CTH
677,PTGER3
678,ZRANB2
679,NEGR1
680,LRRIQ3
681,FPGT
682,TNNI3K
683,LRRC53
684,ERICH3
685,CRYZ
686,TYW3
687,SLC44A5
688,ACADM
689,RABGGTB
690,MSH4
691,ASB17
692,ST6GALNAC5
693,PIGK
694,AK5
695,AC118549.1
696,USP33
697,MIGA1
698,NEXN
699,FUBP1
700,DNAJB4
701,GIPC2
702,PTGFR
703,IFI44L
704,ADGRL4
705,ADGRL2
706,TTLL7
707,PRKACB
708,SAMD13
709,DNASE2B
710,RPF1
711,GNG5
712,SPATA1
713,CTBS
714,SSX2IP
715,LPAR3
716,MCOLN2
717,WDR63
718,MCOLN3
719,SYDE2
720,C1orf52
721,BCL10
722,DDAH1
723,CCN1
724,ZNHIT6
725,COL24A1
726,ODF2L
727,CLCA2
728,CLCA1
729,CLCA4
730,SH3GLB1
731,SELENOF
732,HS2ST1
733,LMO4
734,PKN2
735,GTF2B
736,KYAT3
737,RBMXL1
738,GBP3
739,GBP1
740,GBP2
741,GBP7
742,GBP4
743,GBP5
744,GBP6
745,LRRC8B
746,LRRC8C
747,LRRC8D
748,ZNF326
749,ZNF644
750,HFM1
751,CDC7
752,TGFBR3
753,BRDT
754,EPHX4
755,BTBD8
756,C1orf146
757,GLMN
758,RPAP2
759,GFI1
760,EVI5
761,DIPK1A
762,MTF2
763,TMED5
764,CCDC18
765,DR1
766,FNBP1L
767,BCAR3
768,DNTTIP2
769,GCLM
770,ABCA4
771,ARHGAP29
772,ABCD3
773,F3
774,SLC44A3
775,CNN3
776,ALG14
777,RWDD3
778,PTBP2
779,DPYD
780,SNX7
781,PLPPR5
782,PLPPR4
783,PALMD
784,FRRS1
785,AGL
786,SLC35A3
787,MFSD14A
788,SASS6
789,TRMT13
790,LRRC39
791,DBT
792,RTCA
793,CDC14A
794,GPR88
795,VCAM1
796,EXTL2
797,SLC30A7
798,DPH5
799,S1PR1
800,OLFM3
801,COL11A1
802,RNPC3
803,AMY2A
804,PRMT6
805,NTNG1
806,VAV3
807,SLC25A24
808,FAM102B
809,HENMT1
810,PRPF38B
811,STXBP3
812,GPSM2
813,CLCC1
814,WDR47
815,TAF13
816,KIAA1324
817,SARS
818,CELSR2
819,PSRC1
820,SORT1
821,PSMA5
822,SYPL2
823,ATXN7L2
824,CYB561D1
825,AMIGO1
826,GPR61
827,GNAI3
828,GNAT2
829,AMPD2
830,GSTM3
831,EPS8L3
832,CSF1
833,AHCYL1
834,STRIP1
835,SLC6A17
836,KCNC4
837,RBM15
838,SLC16A4
839,KCNA10
840,KCNA2
841,KCNA3
842,CD53
843,LRIF1
844,DRAM2
845,CEPT1
846,DENND2D
847,CHI3L2
848,PIFO
849,OVGP1
850,WDR77
851,ATP5PB
852,C1orf162
853,TMIGD3
854,ADORA3
855,RAP1A
856,INKA2
857,DDX20
858,KCND3
859,CTTNBP2NL
860,WNT2B
861,CAPZA1
862,MOV10
863,RHOC
864,PPM1J
865,TAFA3
866,SLC16A1
867,LRIG2
868,MAGI3
869,PHTF1
870,RSBN1
871,PTPN22
872,BCL2L15
873,AP4B1
874,DCLRE1B
875,HIPK1
876,OLFML3
877,SYT6
878,TRIM33
879,BCAS2
880,DENND2C
881,AMPD1
882,NRAS
883,CSDE1
884,SIKE1
885,SYCP1
886,TSHB
887,TSPAN2
888,NGF
889,VANGL1
890,CASQ2
891,SLC22A15
892,MAB21L3
893,ATP1A1
894,CD58
895,IGSF3
896,CD2
897,PTGFRN
898,CD101
899,TTF2
900,TRIM45
901,VTCN1
902,MAN1A2
903,TENT5C
904,GDAP2
905,WDR3
906,SPAG17
907,TBX15
908,WARS2
909,HAO2
910,ZNF697
911,PHGDH
912,HMGCS2
913,REG4
914,NOTCH2
915,SEC22B
916,PPIAL4A
917,FCGR1B
918,NBPF20
919,PDZK1
920,CD160
921,RNF115
922,POLR3C
923,NUDT17
924,PIAS3
925,ANKRD35
926,ITGA10
927,PEX11B
928,RBM8A
929,LIX1L
930,ANKRD34A
931,POLR3GL
932,TXNIP
933,HJV
934,PRKAB2
935,FMO5
936,BCL9
937,ACP6
938,GJA5
939,GPR89B
940,NBPF11
941,PPIAL4G
942,NBPF19
943,FCGR1A
944,HIST2H2BE
945,BOLA1
946,SV2A
947,SF3B4
948,MTMR11
949,OTUD7B
950,VPS45
951,PLEKHO1
952,ANP32E
953,APH1A
954,C1orf54
955,CIART
956,PRPF3
957,RPRD2
958,TARS2
959,ECM1
960,ADAMTSL4
961,MCL1
962,ENSA
963,GOLPH3L
964,HORMAD1
965,CTSS
966,CTSK
967,ARNT
968,CTXND2
969,SETDB1
970,CERS2
971,ANXA9
972,MINDY1
973,PRUNE1
974,BNIPL
975,C1orf56
976,CDC42SE1
977,MLLT11
978,GABPB2
979,SEMA6C
980,TNFAIP8L2
981,SCNM1
982,LYSMD1
983,VPS72
984,PIP5K1A
985,PSMD4
986,ZNF687
987,PI4KB
988,RFX5
989,SELENBP1
990,PSMB4
991,POGZ
992,CGN
993,TUFT1
994,SNX27
995,CELF3
996,RIIAD1
997,OAZ3
998,TDRKH
999,RORC
1000,C2CD4D
1001,THEM4
1002,S100A10
1003,S100A11
1004,TCHHL1
1005,TCHH
1006,RPTN
1007,HRNR
1008,FLG2
1009,LCE3D
1010,C1orf68
1011,KPRP
1012,SMCP
1013,SPRR4
1014,SPRR3
1015,SPRR1B
1016,SPRR2E
1017,SPRR2F
1018,LOR
1019,PGLYRP3
1020,S100A9
1021,S100A12
1022,S100A8
1023,S100A7L2
1024,S100A6
1025,S100A5
1026,S100A4
1027,S100A3
1028,S100A2
1029,S100A16
1030,S100A14
1031,S100A13
1032,S100A1
1033,CHTOP
1034,SNAPIN
1035,ILF2
1036,NPR1
1037,INTS3
1038,SLC27A3
1039,GATAD2B
1040,DENND4B
1041,CRTC2
1042,SLC39A1
1043,CREB3L4
1044,JTB
1045,RAB13
1046,NUP210L
1047,C1orf189
1048,C1orf43
1049,UBAP2L
1050,HAX1
1051,ATP8B2
1052,IL6R
1053,SHE
1054,TDRD10
1055,UBE2Q1
1056,ADAR
1057,KCNN3
1058,PMVK
1059,PBXIP1
1060,PYGO2
1061,SHC1
1062,CKS1B
1063,FLAD1
1064,LENEP
1065,ZBTB7B
1066,DCST2
1067,ADAM15
1068,EFNA4
1069,EFNA3
1070,EFNA1
1071,SLC50A1
1072,DPM3
1073,KRTCAP2
1074,TRIM46
1075,MUC1
1076,THBS3
1077,MTX1
1078,GBA
1079,FAM189B
1080,SCAMP3
1081,CLK2
1082,HCN3
1083,PKLR
1084,FDPS
1085,RUSC1
1086,ASH1L
1087,MSTO1
1088,YY1AP1
1089,DAP3
1090,GON4L
1091,SYT11
1092,RIT1
1093,KHDC4
1094,RXFP4
1095,ARHGEF2
1096,SSR2
1097,UBQLN4
1098,LAMTOR2
1099,RAB25
1100,MEX3A
1101,LMNA
1102,SEMA4A
1103,SLC25A44
1104,PMF1
1105,BGLAP
1106,PAQR6
1107,SMG5
1108,TMEM79
1109,GLMP
1110,VHLL
1111,CCT3
1112,TSACC
1113,RHBG
1114,MEF2D
1115,TTC24
1116,NAXE
1117,GPATCH4
1118,NES
1119,CRABP2
1120,ISG20L2
1121,RRNAD1
1122,HDGF
1123,PRCC
1124,SH2D2A
1125,NTRK1
1126,INSRR
1127,PEAR1
1128,LRRC71
1129,ARHGEF11
1130,ETV3L
1131,ETV3
1132,FCRL5
1133,FCRL4
1134,FCRL3
1135,FCRL2
1136,FCRL1
1137,CD5L
1138,KIRREL1
1139,CD1D
1140,CD1A
1141,CD1C
1142,CD1B
1143,CD1E
1144,OR10T2
1145,OR10K1
1146,OR10X1
1147,OR10Z1
1148,OR6K2
1149,OR6N1
1150,OR6K6
1151,OR6N2
1152,MNDA
1153,PYHIN1
1154,IFI16
1155,AIM2
1156,CADM3
1157,ACKR1
1158,FCER1A
1159,OR10J5
1160,APCS
1161,DUSP23
1162,FCRL6
1163,SLAMF8
1164,VSIG8
1165,CFAP45
1166,TAGLN2
1167,IGSF9
1168,SLAMF9
1169,KCNJ10
1170,PIGM
1171,KCNJ9
1172,IGSF8
1173,ATP1A2
